Version, Total, Open, Closed, Commits
12.4.2, 0, 0, 0, 38
12.4.1, 0, 0, 0, 69
12.4.0, 0, 0, 0, 2366
12.3.6, 0, 0, 0, 16
12.3.6+security-01, 0, 0, 0, 18
12.3.5, 0, 0, 0, 20
12.3.4, 0, 0, 0, 28
12.3.3, 0, 0, 0, 30
12.3.2+security-01, 0, 0, 0, 49
12.3.2, 0, 0, 0, 46
12.3.1+security-01, 0, 0, 0, 77
12.3.1, 0, 0, 0, 71
12.3.0, 0, 0, 0, 1334
12.2.8, 0, 0, 0, 9
12.2.8+security-01, 0, 0, 0, 11
12.2.7, 0, 0, 0, 11
12.2.6, 0, 0, 0, 8
12.2.5, 0, 0, 0, 15
12.2.4+security-01, 0, 0, 0, 29
12.2.4, 0, 0, 0, 26
12.2.3+security-01, 0, 0, 0, 29
12.2.3, 0, 0, 0, 26
12.2.2, 0, 0, 0, 45
12.2.1+security-01, 0, 0, 0, 73
12.2.1, 0, 0, 0, 71
12.2.0, 0, 0, 0, 1619
12.1.10, 0, 0, 0, 14
12.1.10+security-01, 0, 0, 0, 16
12.1.9, 0, 0, 0, 9
12.1.8, 0, 0, 0, 7
12.1.7, 0, 0, 0, 8
12.1.6+security-01, 0, 0, 0, 18
12.1.6, 0, 0, 0, 16
12.1.5+security-01, 0, 0, 0, 21
12.1.5, 0, 0, 0, 18
12.1.4, 0, 0, 0, 13
12.1.3+security-01, 0, 0, 0, 25
12.1.3, 0, 0, 0, 23
12.1.2, 0, 0, 0, 54
12.1.1, 0, 0, 0, 39
12.1.0, 0, 0, 0, 1820
12.0.10, 0, 0, 0, 7
12.0.9, 0, 0, 0, 14
12.0.8+security-01, 0, 0, 0, 19
12.0.8, 0, 0, 0, 15
12.0.7, 0, 0, 0, 13
12.0.6+security-01, 0, 0, 0, 13
12.0.6, 0, 0, 0, 13
12.0.5, 0, 0, 0, 32
12.0.4, 0, 0, 0, 13
12.0.3, 0, 0, 0, 49
12.0.2+security-01, 0, 0, 0, 61
12.0.2, 0, 0, 0, 53
12.0.1+security-01, 0, 0, 0, 0
12.0.1, 0, 0, 0, 0
11.6.14, 0, 0, 0, 8
11.6.14+security-01, 0, 0, 0, 10
11.6.13, 0, 0, 0, 4
11.6.12, 0, 0, 0, 5
11.6.11, 0, 0, 0, 10
11.6.10+security-01, 0, 0, 0, 13
11.6.10, 0, 0, 0, 11
11.6.9+security-01, 0, 0, 0, 13
11.6.9, 0, 0, 0, 10
11.6.8, 0, 0, 0, 14
11.6.7, 0, 0, 0, 17
11.6.6, 0, 0, 0, 21
11.6.5, 0, 0, 0, 12
11.6.4, 0, 0, 0, 30
11.6.3+security-01, 0, 0, 0, 20
11.6.3, 0, 0, 0, 17
11.6.2+security-01, 0, 0, 0, 0
11.6.2, 0, 0, 0, 0
11.5.10, 0, 0, 0, 17
11.5.9, 0, 0, 0, 11
11.5.8, 0, 0, 0, 8
11.5.7, 0, 0, 0, 15
11.5.6+security-01, 0, 0, 0, 12
11.5.6, 0, 0, 0, 11
11.5.5+security-01, 0, 0, 0, 0
11.5.5, 0, 0, 0, 0
11.4.8, 0, 0, 0, 7
11.4.7, 0, 0, 0, 10
11.4.6+security-01, 0, 0, 0, 12
11.4.6, 0, 0, 0, 11
11.4.5+security-01, 0, 0, 0, 0
11.4.5, 0, 0, 0, 0
11.3.9, 0, 0, 0, 9
11.3.8+security-01, 0, 0, 0, 10
11.3.8, 0, 0, 0, 9
11.3.7+security-01, 0, 0, 0, 0
11.2.10+security-01, 0, 0, 0, 0
10.4.19+security-01, 0, 0, 0, 0
10.4.19, 0, 0, 0, 0
